outcome.trait	exposure.trait	mr.b	mr.se	mr.pval
Morning/evening person (chronotype)	Neuroblastoma	0.00287758337969534	0.000370757723652201	8.40248425075646e-15
Morning/evening person (chronotype)	Septin-10	0.0033738982397738	0.000120866467640926	1.79110399951321e-171
Morning/evening person (chronotype)	Multimerin-2	0.00396766916234503	0.000302404290106679	2.5156044017205e-39
Morning/evening person (chronotype)	Inter-alpha-trypsin inhibitor heavy chain H1	0.00507887576659182	0.000857805371254016	3.20420799052164e-09
Morning/evening person (chronotype)	Immunoglobulin superfamily DCC subclass member 4	0.00535210035428382	0.000426592569302498	4.17237663852434e-36
Morning/evening person (chronotype)	Switch-associated protein 70	0.00691825083003741	0.00072365871785224	1.17641215660677e-21
Morning/evening person (chronotype)	Tryptase beta-2	0.00714563560810061	0.000866089356449834	1.57785960277373e-16
Morning/evening person (chronotype)	Immunoglobulin superfamily DCC subclass member 4	0.00733012993738085	0.00124179916397816	3.57317413414094e-09
Morning/evening person (chronotype)	Angiopoietin-related protein 4	0.00746664146588007	0.00113826882413815	5.39353690086811e-11
Morning/evening person (chronotype)	Uncharacterized protein C10orf35	0.00775939598286646	6.61074830548331e-05	0
Morning/evening person (chronotype)	N-acetyl-D-glucosamine kinase	0.0079169205020002	0.000908031598403631	2.81235167275885e-18
Morning/evening person (chronotype)	Sodium-coupled monocarboxylate transporter 1	0.00800649244425879	0.000576687599828681	7.9655782497143e-44
Morning/evening person (chronotype)	DNA/RNA-binding protein KIN17	0.0103596212136028	0.00146893208158825	1.75750586306667e-12
Morning/evening person (chronotype)	Tumor necrosis factor-inducible gene 6 protein	0.010496180691624	0.00181241211782529	6.98532425785595e-09
Morning/evening person (chronotype)	Laminin	0.010917280398307	0.00150759577743893	4.43693650766346e-13
Morning/evening person (chronotype)	N-acetyl-D-glucosamine kinase	0.0112395736243297	0.00134392678162792	6.10222180527155e-17
Morning/evening person (chronotype)	Contactin-2	0.0120342101830561	0.00106291359211204	1.02222205536076e-29
Morning/evening person (chronotype)	Glycogen phosphorylase, liver form	0.0135661759256176	0.00103436858809926	2.68698261231667e-39
Morning/evening person (chronotype)	Low-density lipoprotein receptor-related protein 1B	0.0145897402193435	0.000329758007673028	0
Morning/evening person (chronotype)	Tumor necrosis factor-inducible gene 6 protein	0.0155748603027109	0.0015739352032448	4.35471921626639e-23
Morning/evening person (chronotype)	Low-density lipoprotein receptor-related protein 1B	0.0169651893409382	0.00247747523921922	7.50081870079024e-12
Morning/evening person (chronotype)	Neural cell adhesion molecule L1-like protein	0.0183766321092048	0.000257632149179715	0
Morning/evening person (chronotype)	Serine/threonine-protein kinase MRCK alpha	0.0206977092360561	0.00298860052518327	4.34277856868137e-12
Morning/evening person (chronotype)	HLA class II histocompatibility antigen, DQ alpha 2 chain	0.0216860344439717	0.00338475715675875	1.48440908750807e-10
Morning/evening person (chronotype)	Coffee consumed	0.0796064585400053	0.011003411830791	4.66535893951153e-13
Morning/evening person (chronotype)	Cognitive performance	0.105535214449114	0.00930824107344355	8.52359408400354e-30
Morning/evening person (chronotype)	Cognitive performance	0.113230812641679	0.0137043580146654	8.40289513126377e-13
Morning/evening person (chronotype)	Home location - north co-ordinate (rounded)	0.184664889270611	0.0222838825844709	1.16212745194819e-16
Morning/evening person (chronotype)	Neuroticism	0.204983497486034	0.0295876870154264	4.26831557337576e-12
Morning/evening person (chronotype)	Average weekly beer plus cider intake	0.51359507486186	0.0738074746580384	3.43724238439224e-12
Morning/evening person (chronotype)	Loneliness  isolation	0.671641064447738	0.0817814550220533	2.16390423407765e-16
Morning/evening person (chronotype)	Qualifications: CSEs or equivalent	0.754761075013941	0.10537512440819	7.9154455016879e-13
Morning/evening person (chronotype)	Diagnoses - main ICD10: H26 Other cataract	0.812074805010986	0.0393005257427746	7.42681308076726e-95
Morning/evening person (chronotype)	Qualifications: CSEs or equivalent	0.818400738262404	0.124515166672984	4.94112109808383e-11
Morning/evening person (chronotype)	Types of physical activity in last 4 weeks: None of the above	0.9027644532714	0.0570641465961928	2.25884888387178e-56
Morning/evening person (chronotype)	Diagnoses - main ICD10: H33 Retinal detachments and breaks	1.70519592150438	0.043777333883243	0
Morning/evening person (chronotype)	Diagnoses - main ICD10: D17 Benign lipomatous neoplasm	1.93738501834038	0.126008435957142	2.40686606219652e-53
Morning/evening person (chronotype)	Milk type used: Full cream	1.94778642797844	0.230379028359146	2.79796891012283e-17
Morning/evening person (chronotype)	Diagnoses - main ICD10: D17 Benign lipomatous neoplasm	2.08187215627473	0.297307153854476	2.51562861652077e-12
Morning/evening person (chronotype)	Milk type used: Full cream	2.16018183146518	0.0406649956786339	0
Morning/evening person (chronotype)	Diagnoses - main ICD10: H33 Retinal detachments and breaks	2.24192467955065	0.303382567006981	1.47092901345852e-13
Getting up in morning	Multimerin-2	-0.0021138003841094	0.000201372901243164	8.92204560021488e-26
Getting up in morning	Switch-associated protein 70	-0.00248944504190942	0.000282674887154209	1.28834793051373e-18
Getting up in morning	Paget's disease	-0.00333257418195805	0.000535785941746072	4.97239904302284e-10
Getting up in morning	Glycogen phosphorylase, liver form	-0.00389343589140821	0.00066167386777988	3.99930875612813e-09
Getting up in morning	Tumor necrosis factor-inducible gene 6 protein	-0.00459303808927418	0.000558559925458431	1.98475361456617e-16
Getting up in morning	MAGUK p55 subfamily member 6	-0.00462798332160993	0.000685903912477846	1.50646073899072e-11
Getting up in morning	Low malignant potential ovarian cancer	-0.00885215180030081	0.00117545345100284	5.0414956010149e-14
Getting up in morning	MHC class I polypeptide-related sequence B	-0.0122370952798731	0.00127036921983834	5.81759563423773e-22
Getting up in morning	Serine/threonine-protein kinase MRCK alpha	-0.0132060419110413	0.00013752757783651	0
Getting up in morning	Sialic acid-binding Ig-like lectin 8	-0.0133732785983384	0.00217915872440542	8.41474569006846e-10
Getting up in morning	PAX-interacting protein 1	-0.0184559344260345	0.0018380762882288	1.00753876713774e-23
Getting up in morning	cAMP-specific 3',5'-cyclic phosphodiesterase 4D	-0.0187181231032033	0.000446507038322082	0
Getting up in morning	HLA class II histocompatibility antigen, DQ alpha 2 chain	-0.0204243252971932	0.00239184765586269	1.35222843998519e-17
Getting up in morning	Low-density lipoprotein receptor-related protein 1B	-0.0217120253386726	0.00331653961264117	5.88656475112354e-11
Getting up in morning	Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit delta	-0.0221563241484069	0.00346072640010179	1.53136002807686e-10
Getting up in morning	Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit delta	-0.0285681309895859	0.00362896558718801	3.48314132435941e-15
Getting up in morning	Ever addicted to alcohol	-0.0294382427226664	0.00402666645442611	2.65512565777246e-13
Getting up in morning	Filtered coffee intake	-0.0325337352606418	0.00436628461583567	9.25471723565006e-14
Getting up in morning	Average monthly intake of other alcoholic drinks	-0.0387108612319063	0.00384425669059731	7.51376188740573e-24
Getting up in morning	Number of unsuccessful stop-smoking attempts	-0.125545865823489	0.0180066384474129	3.1202484400944e-12
Getting up in morning	Surgery/amputation of toe or leg: No	-0.231751492398015	0.0312402352118212	1.18574239531784e-13
Getting up in morning	Hair colour (natural, before greying): Other	-0.373298936532364	0.0437304740227212	1.38519969812796e-17
Getting up in morning	Job SOC coding: Other goods handling and storage occupations n.e.c.	-0.393076635881913	0.0286059346385878	5.76043996962055e-43
Getting up in morning	Diagnoses - secondary ICD10: Z72.0 Tobacco use	-0.507132671380032	0.00571552180884609	0
Getting up in morning	Treatment/medication code: doxazosin	-0.52854927870502	0.0378191335412906	2.1931255761209e-44
Getting up in morning	Methods of admission to hospital (recoded): Emergency admission: Non-injury	-0.590467216539741	0.0715156431772952	1.50035940841961e-16
Getting up in morning	Loneliness  isolation	-0.637604620936777	0.107202713394998	2.72013216729376e-09
Getting up in morning	Non-cancer illness code, self-reported: ankylosing spondylitis	-0.646800877933765	0.0729668803250078	7.69808996617485e-19
Getting up in morning	Types of transport used (excluding work): Cycle	-0.659164027153519	0.0101377849036138	0
Getting up in morning	Diagnoses - secondary ICD10: Z72.0 Tobacco use	-0.743344986062592	0.00444035244561889	0
Getting up in morning	Treatment/medication code: salbutamol	-0.841595502530021	0.0404946700498981	6.18473187718811e-96
Getting up in morning	Treatment/medication code: doxazosin	-0.883008674171178	0.0773627117110356	3.56467900537127e-30
Getting up in morning	Other/unspecified rheumatoid arthritis	-0.924582331410939	0.154444038080181	2.14378165789994e-09
Getting up in morning	Treatment/medication code: folic acid product	-0.954960533395236	0.0353669029265985	1.41795972331861e-160
Getting up in morning	Diagnoses - main ICD10: D12 Benign neoplasm of colon  rectum  anus and anal canal	-0.955699344882419	0.00746902530833023	0
Getting up in morning	Diagnoses - main ICD10: D17 Benign lipomatous neoplasm	-1.13634739575805	0.0828607343537721	8.37782859323759e-43
Getting up in morning	Diagnoses - main ICD10: K63 Other diseases of intestine	-1.73145904803691	0.210788694093761	2.13595533136671e-16
Getting up in morning	Diagnoses - main ICD10: C67 Malignant neoplasm of bladder	-1.80240572776188	0.298644344228673	1.58675804597731e-09
Getting up in morning	Milk type used: Full cream	-1.83392466116155	0.312017537719777	4.1617362988834e-09
Diagnoses - main ICD10: G47 Sleep disorders	Valine--tRNA ligase	0.000180300076764651	1.74838772484535e-05	6.19592882407637e-25
Diagnoses - main ICD10: G47 Sleep disorders	MHC class I polypeptide-related sequence B	0.000342291197714184	2.62386719403578e-06	0
Diagnoses - main ICD10: G47 Sleep disorders	HLA class II histocompatibility antigen, DQ alpha 2 chain	0.000393102644816016	2.85949120725962e-05	5.28707542965303e-43
Diagnoses - main ICD10: G47 Sleep disorders	DNA repair protein RAD51 homolog 4	0.000417911725677353	7.57319804065599e-06	0
Diagnoses - main ICD10: G47 Sleep disorders	cAMP-specific 3',5'-cyclic phosphodiesterase 4D	0.000480150345900487	4.71106453702104e-05	2.15352400749235e-24
Diagnoses - main ICD10: G47 Sleep disorders	IDP dMRI ProbtrackX MD ifo l	0.000634896157783365	8.86672207417181e-05	8.04195566768417e-13
Diagnoses - main ICD10: G47 Sleep disorders	Protein FAM163A	0.000660788685112919	4.81515206916527e-05	7.38278537847502e-43
Diagnoses - main ICD10: G47 Sleep disorders	IDP dMRI ProbtrackX MD ilf l	0.000691371059704559	9.32556276376654e-05	1.22805573772626e-13
Diagnoses - main ICD10: G47 Sleep disorders	IDP dMRI TBSS L3 Cingulum cingulate gyrus R	0.000694794108020676	8.48389664943565e-05	2.62175155896672e-16
Diagnoses - main ICD10: G47 Sleep disorders	IDP dMRI ProbtrackX MD ifo r	0.000702487581780962	8.37170982089813e-05	4.81172277521981e-17
Diagnoses - main ICD10: G47 Sleep disorders	IDP dMRI TBSS L2 Anterior corona radiata R	0.000710898610513297	7.16393850839114e-05	3.2969548512484e-23
Diagnoses - main ICD10: G47 Sleep disorders	IDP dMRI TBSS L3 Superior longitudinal fasciculus R	0.000722349200183024	5.4924153475595e-05	1.66262283087643e-39
Diagnoses - main ICD10: G47 Sleep disorders	IDP dMRI TBSS MD Superior longitudinal fasciculus L	0.000724918973439069	3.90814163651654e-05	8.31711072410818e-77
Diagnoses - main ICD10: G47 Sleep disorders	IDP dMRI TBSS MD Posterior corona radiata L	0.000745201270099289	9.38327400449507e-05	1.99260953935499e-15
Diagnoses - main ICD10: G47 Sleep disorders	IDP dMRI TBSS L2 Retrolenticular part of internal capsule R	0.000747596465153187	2.58899020096266e-05	2.39114350622744e-183
Diagnoses - main ICD10: G47 Sleep disorders	IDP dMRI ProbtrackX L1 ifo l	0.000918602341653451	0.00010484317064116	1.92361202909936e-18
Diagnoses - main ICD10: G47 Sleep disorders	Voltage-dependent calcium channel subunit alpha-2/delta-3	0.00105061204701437	0.000147851286006818	1.19566749775337e-12
Diagnoses - main ICD10: G47 Sleep disorders	Uncharacterized protein C10orf35	0.0012877698611129	0.00012651438390409	2.46478198394257e-24
Diagnoses - main ICD10: G47 Sleep disorders	Cytochrome c oxidase assembly factor 3 homolog, mitochondrial	0.00169036941933106	0.000242192714727597	2.9635984704813e-12
Diagnoses - main ICD10: G47 Sleep disorders	Calcineurin subunit B type 1	0.00188012823213119	5.02919022847223e-05	7.02756815566485e-306
Diagnoses - main ICD10: G47 Sleep disorders	NET100 0464	0.00188106793488448	0.000145659885676252	3.74747045426907e-38
Diagnoses - main ICD10: G47 Sleep disorders	IDP T1 FIRST left caudate volume	0.00266657085483463	0.000452858350356399	3.90162139930409e-09
Diagnoses - main ICD10: G47 Sleep disorders	C-X-C motif chemokine 16	0.00306702920741324	0.000470200878972131	6.90040005515826e-11
Diagnoses - main ICD10: G47 Sleep disorders	Trunk fat mass	0.00316726792214013	0.000535103662362813	7.22852477856141e-09
Diagnoses - main ICD10: G47 Sleep disorders	Weight	0.00352771780985242	0.000553097082616019	4.34871717708809e-10
Diagnoses - main ICD10: G47 Sleep disorders	Body mass index (BMI)	0.00358774790120287	0.000517438875298029	1.60737400480052e-11
Diagnoses - main ICD10: G47 Sleep disorders	Weight	0.00359483721037106	0.000568928910772847	6.307086169414e-10
Diagnoses - main ICD10: G47 Sleep disorders	Alanine aminotransferase	0.00372190293987185	0.000599031405343116	4.3149582714015e-09
Diagnoses - main ICD10: G47 Sleep disorders	Body mass index (BMI)	0.00405154087197871	0.000551817174775448	2.19434987384573e-12
Diagnoses - main ICD10: G47 Sleep disorders	Leg fat mass (left)	0.00465645904754135	0.000727072916894248	6.80852445093167e-10
Diagnoses - main ICD10: G47 Sleep disorders	Leg fat percentage (right)	0.00651332323053492	0.000958067653989685	8.79058906461058e-11
Diagnoses - main ICD10: G47 Sleep disorders	3-dehydrocarnitine*	0.0124475643310824	0.000523223400942999	4.22341527686476e-125
Diagnoses - main ICD10: G47 Sleep disorders	Pain type(s) experienced in last month: Hip pain	0.0404739547903936	0.00480327843113643	3.56709855485064e-17
Diagnoses - main ICD10: G47 Sleep disorders	Diagnoses - secondary ICD10: I25.9 Chronic ischaemic heart disease, unspecified	0.0588702118436823	0.0050008696388009	5.44221458571882e-32
Diagnoses - main ICD10: G47 Sleep disorders	Treatment/medication code: becotide 50 inhaler	0.12145279421231	0.00959529788330938	1.01644234543243e-36
Diagnoses - main ICD10: G47 Sleep disorders	Non-cancer illness code, self-reported: diverticular disease/diverticulitis	0.124390687634727	0.0132112959211067	4.70927376034241e-21
Sleep duration	Siatica+with lumbago	-4.3875850369066	0.510730336606399	8.63616432089888e-18
Sleep duration	Siatica+with lumbago	-4.3875850369066	0.510730336606399	8.63616432089888e-18
Sleep duration	Other diseases of the digestive system	-1.1616651488427	0.166284071394466	2.82778025316911e-12
Sleep duration	Other diseases of the digestive system	-1.1616651488427	0.166284071394466	2.82778025316911e-12
Sleep duration	Type of cancer: ICD10: C50.4 Upper-outer quadrant of breast	-0.9271105868066	0.0960481751684538	4.79445569674565e-22
